trip_id,arrival_time,departure_time,stop_id,stop_sequence
T-SAM-OUT-1,10:00:00,10:00:00,STOP-1,1
T-SAM-OUT-1,10:40:00,10:40:00,STOP-2,2
T-SAM-IN-1,16:30:00,16:30:00,STOP-2,1
T-SAM-IN-1,17:10:00,17:10:00,STOP-1,2
T-ASS-OUT-1,10:00:00,10:00:00,STOP-1,1
T-ASS-OUT-1,10:45:00,10:45:00,STOP-3,2
T-ASS-IN-1,16:45:00,16:45:00,STOP-3,1
T-ASS-IN-1,17:30:00,17:30:00,STOP-1,2
